fan_id,name,service_type,arrival_time
1,Fan1,Info Desk,09:00:15
2,Fan2,Ticket Purchase,09:00:30
3,Fan3,Will Call,09:00:45
4,Fan4,Info Desk,09:01:00
5,Fan5,Ticket Purchase,09:01:15
6,Fan6,Will Call,09:01:30
7,Fan7,Ticket Purchase,09:01:45
8,Fan8,Info Desk,09:02:00
9,Fan9,Merchandise,09:02:15
10,Fan10,Info Desk,09:02:30
11,Fan11,Will Call,09:02:45
12,Fan12,Ticket Purchase,09:03:00
13,Fan13,Merchandise,09:03:15
14,Fan14,Merchandise,09:03:30
15,Fan15,Info Desk,09:03:45
16,Fan16,Will Call,09:04:00
17,Fan17,Ticket Purchase,09:04:15
18,Fan18,Merchandise,09:04:30
19,Fan19,Will Call,09:04:45
20,Fan20,Ticket Purchase,09:05:00
21,Fan21,Ticket Purchase,09:05:15
22,Fan22,Merchandise,09:05:30
23,Fan23,Will Call,09:05:45
24,Fan24,Will Call,09:06:00
25,Fan25,Info Desk,09:06:15
26,Fan26,Info Desk,09:06:30
27,Fan27,Merchandise,09:06:45
28,Fan28,Info Desk,09:07:00
29,Fan29,Will Call,09:07:15
30,Fan30,Will Call,09:07:30
31,Fan31,Info Desk,09:07:45
32,Fan32,Merchandise,09:08:00
33,Fan33,Ticket Purchase,09:08:15
34,Fan34,Info Desk,09:08:30
35,Fan35,Merchandise,09:08:45
36,Fan36,Will Call,09:09:00
37,Fan37,Info Desk,09:09:15
38,Fan38,Info Desk,09:09:30
39,Fan39,Ticket Purchase,09:09:45
40,Fan40,Merchandise,09:10:00
41,Fan41,Info Desk,09:10:15
42,Fan42,Ticket Purchase,09:10:30
43,Fan43,Will Call,09:10:45
44,Fan44,Ticket Purchase,09:11:00
45,Fan45,Will Call,09:11:15
46,Fan46,Merchandise,09:11:30
47,Fan47,Ticket Purchase,09:11:45
48,Fan48,Will Call,09:12:00
49,Fan49,Will Call,09:12:15
50,Fan50,Ticket Purchase,09:12:30
51,Fan51,Info Desk,09:12:45
52,Fan52,Merchandise,09:13:00
53,Fan53,Merchandise,09:13:15
